2018, Syracuse, N.Y., 7,556
2017, Las Vegas, Nev., 10,286
2016, Reno, Nev., 8,063
2015, El Paso, Texas, 7,315
2014, Reno, Nev., 9,024
2013, Reno, Nev., 10,253
2012, Baton Rouge, La., 11,794
2011, Reno, Nev.,   12,837
2010, Reno, Nev., 14,189
2009, Las Vegas, Nev., 17,200
2008, Albuquerque, N.M., 12,615
2007, Reno, Nev., 16,235
2006, Corpus Christi, Texas, 12,606
2005, Baton Rouge, La., 13,222
2004, Reno, Nev., 16,585
2003, Knoxville, Tenn., 12,203
2002, Billings, Mont., 10,806
2001, Reno, Nev., 16,104
2000, Albuquerque, N.M., 10,688
1999, Syracuse, N.Y., 9,912
1998, Reno, Nev., 15,925
1997, Huntsville, Ala., 9,480
1996, Salt Lake City, Utah, 9,764
1995, Reno, Nev., 17,285
1994, Mobile, Ala., 9,285
1993, Tulsa, Okla., 8,518
1992, Corpus Christi, Texas, 8,557
1991, Toledo, Ohio, 8,359
1990, Reno, Nev., 9,199
1989, Wichita, Kan., 7,717
1988, Jacksonville, Fla., 7,562
1987, Niagara Falls, N.Y., 7,480
1986, Las Vegas, Nev., 10,019
1985, Tulsa, Okla., 7,700
1984, Reno, Nev., 8,380
1983, Niagara Falls, N.Y., 7,132
1982, Baltimore, Md., 6,627
1981, Memphis, Tenn., 6,400
1980, Louisville, Ky., 6,269
1979, Tampa, Fla., 6,213
1978, St. Louis, Mo., 6,684
1977, Reno, Nev., 7,203
1976, Oklahoma City, Okla., 5,679
1975, Dayton, Ohio, 6,244
1974, Indianapolis, Ind., 6,138
1973, Syracuse, N.Y., 5,590
1972, Long Beach, Calif., 4,732
1971, Detroit, Mich., 6,219
1970, Knoxville, Tenn., 4,802
1969, Madison, Wis., 6,258
1968, Cincinnati, Ohio, 5,923
1967, Miami Beach, Fla., 3,554
1966, Rochester, N.Y., 5,208
1965, St. Paul, Minn., 5,472
1964, Oakland, Calif., 3,791
1963, Buffalo, N.Y., 5,010
1962, Des Moines, Iowa, 5,292
1961, Detroit, Mich., 6,216
1960, Toledo, Ohio, 5,716
1959, St. Louis, Mo., 5,482
1958, Syracuse, N.Y., 5,434
1957, Fort Worth, Texas, 3,056
1956, Rochester, N.Y., 5,845
1955, Fort Wayne, Ind., 5,826
1954, Seattle, Wash., 3,178
1953, Chicago, Ill., 8,180
1952, Milwaukee, Wis., 7,735
1951, St. Paul, Minn., 5,195
1950, Columbus, Ohio, 5,109
1949, Atlantic City, N.J., 5,444
1948, Detroit, Mich., 7,348
1947, Los Angeles, Calif., 3,356
1946, Buffalo, N.Y., 5,744
1943-45, No Tournaments (World War II)
1942, Columbus, Ohio, 5,742
1941, St. Paul, Minn., 5,797
1940, Detroit, Mich., 6,073
1939, Cleveland, Ohio, 4,145
1938, Chicago, Ill., 4,957
1937, New York, N.Y., 4,017
1936, Indianapolis, Ind., 2,853
1935, Syracuse, N.Y., 2,837
1934, Peoria, Ill., 1,329
1933, Columbus, Ohio, 1,597
1932, Detroit, Mich., 2,336
1931, Buffalo, N.Y., 2,639
1930, Cleveland, Ohio, 2,443
1929, Chicago, Ill., 2,523
1928, Kansas City, Mo., 2,251
1927, Peoria, Ill., 1,452
1926, Toledo, Ohio, 1,876
1925, Buffalo, N.Y., 2,200
1924, Chicago, Ill., 2,132
1923, Milwaukee, Wis., 1,956
1922, Toledo, Ohio, 1,126
1921, Buffalo, N.Y., 940
1920, Peoria, Ill., 900
1919, Toledo, Ohio, 796
1918, Cincinnati, Ohio, 654
1917, Grand Rapids, Mich., 714
1916, Toledo, Ohio, 756
1915, Peoria, Ill., 513
1914, Buffalo, N.Y., 450
1913, Toledo, Ohio, 502
1912, Chicago, Ill., 596
1911, St. Louis, Mo., 414
1910, Detroit, Mich., 401
1909, Pittsburgh, Pa., 374
1908, Cincinnati, Ohio, 362
1907, St. Louis, Mo., 224
1906, Louisville, Ky., 221
1905, Milwaukee, Wis., 217
1904, Cleveland, Ohio, 112
1903, Indianapolis, Ind., 78
1902, Buffalo, N.Y., 61
1901, Chicago, Ill., 41